發生地點,天候名稱,行動電話或電腦或其他相類功能裝置名稱,Date_ID,是否酒駕,死亡人數,受傷人數
雲林縣,晴,0,20220101023000,0,1,0
屏東縣,晴,0,20220101060742,0,1,1
宜蘭縣,晴,0,20220101165000,0,1,0
南投縣,晴,0,20220101192000,0,1,1
屏東縣,晴,0,20220101195500,0,1,0
宜蘭縣,晴,0,20220102080053,0,1,1
嘉義縣,晴,0,20220102101200,0,1,0
新竹縣,晴,0,20220102120029,0,1,1
桃園市,晴,0,20220102183000,0,1,0
新竹市,晴,0,20220103061900,0,1,0
臺南市,晴,0,20220103143613,0,1,0
雲林縣,晴,0,20220103151100,0,1,2
桃園市,晴,0,20220103152800,0,1,0
高雄市,晴,0,20220103175700,0,1,1
臺北市,晴,0,20220103201700,0,1,0
嘉義縣,晴,0,20220103203200,0,1,0
臺北市,晴,0,20220104025100,0,1,0
臺南市,晴,0,20220104054039,0,1,1
新竹縣,晴,0,20220104061300,0,1,0
高雄市,晴,0,20220104112700,0,1,0
臺中市,晴,0,20220104132300,1,1,2
桃園市,晴,0,20220105081000,0,1,1
高雄市,晴,0,20220105111700,0,2,0
宜蘭縣,晴,0,20220105161000,0,1,1
桃園市,晴,0,20220105163200,0,1,0
彰化縣,晴,0,20220105164100,0,1,0
桃園市,陰,0,20220105191600,0,1,0
新北市,雨,0,20220106223900,0,1,0
臺南市,晴,0,20220106231010,0,1,3
臺北市,陰,0,20220107100300,0,1,0
臺南市,晴,0,20220107125500,0,1,0
臺東縣,晴,0,20220107125500,1,1,0
雲林縣,晴,0,20220107161037,0,1,1
臺中市,晴,0,20220107230600,1,1,0
臺北市,晴,0,20220108011000,0,1,2
臺東縣,晴,0,20220108161000,0,1,2
金門縣,晴,0,20220108173500,0,1,0
彰化縣,晴,0,20220109053600,0,1,0
桃園市,陰,0,20220109133900,0,1,0
彰化縣,晴,0,20220109142900,0,1,0
新北市,雨,0,20220109191800,0,1,0
苗栗縣,晴,0,20220110015800,0,1,0
桃園市,晴,0,20220110044300,0,1,0
苗栗縣,陰,0,20220110090959,0,1,0
高雄市,晴,0,20220110125059,0,1,1
桃園市,晴,0,20220110160400,0,1,0
澎湖縣,陰,0,20220110164700,0,1,0
高雄市,晴,0,20220110213500,1,1,0
臺中市,晴,0,20220111003700,0,1,0
新北市,雨,0,20220111052000,0,1,1
臺北市,雨,0,20220111072400,0,1,0
高雄市,晴,0,20220111115300,0,1,1
花蓮縣,陰,0,20220112045700,0,1,0
宜蘭縣,陰,0,20220112131016,0,1,1
臺南市,晴,0,20220112184309,0,1,1
臺南市,晴,0,20220113003702,0,1,0
新北市,雨,0,20220113063300,0,1,1
彰化縣,晴,0,20220113070600,0,1,1
臺中市,晴,0,20220113101300,0,1,1
臺東縣,晴,0,20220113104000,0,1,0
新竹縣,晴,0,20220113145128,0,1,0
臺中市,晴,0,20220114001900,0,1,0
臺南市,晴,0,20220114084600,0,1,0
