Date_ID,car_hit,county
20220103,left,高雄市
20220103,front,高雄市
20220103,left,臺北市
20220103,front,臺北市
20220103,back,臺北市
20220103,left,嘉義縣
20220104,front_right,臺北市
20220104,front,新竹縣
20220104,front_left,高雄市
20220105,left,高雄市
20220105,front,高雄市
20220106,front,新北市
20220107,back,臺北市
20220107,right,臺東縣
20220108,right,臺北市
20220108,front,臺北市
20220108,front,臺北市
20220109,front,新北市
20220110,left,桃園市
20220110,front_left,高雄市
20220111,front,新北市
20220111,right,新北市
20220111,right,新北市
20220111,right,新北市
20220111,front,臺北市
20220111,right,高雄市
20220111,left,高雄市
20220113,front,臺南市
20220113,front,新北市
20220113,right,新北市
20220114,front,新北市
20220114,front,新北市
20220114,front,新北市
20220114,front,苗栗縣
20220115,front,新竹縣
20220118,front,臺北市
20220118,front,新北市
20220118,front_left,雲林縣
20220119,left,高雄市
20220119,front_right,高雄市
20220119,front,高雄市
20220120,front,臺北市
20220121,right,臺南市
20220121,front,新竹縣
20220121,left_back,高雄市
20220121,front_left,高雄市
20220121,front,新北市
20220122,left,臺北市
20220122,right,高雄市
20220122,front,高雄市
20220123,front,臺中市
20220125,front,高雄市
20220125,right,新北市
20220125,top,新北市
20220125,front,臺北市
20220125,front,臺北市
20220125,right,臺北市
20220126,front,苗栗縣
20220127,front,臺中市
20220128,left,嘉義縣
20220130,front,新北市
20220130,back,新北市
20220130,left,新北市
20220131,front,桃園市
20220201,front,新北市
20220201,front,新北市
20220202,front,高雄市
20220202,right,高雄市
20220203,front_right,高雄市
20220203,front,桃園市
20220203,front,桃園市
20220203,front,臺北市
20220205,front,高雄市
20220205,front,高雄市
20220205,right,新北市
20220205,front,新北市
20220205,front_right,高雄市
20220205,front,高雄市
20220206,front,臺南市
20220206,front_right,彰化縣
20220207,left,新竹縣
20220207,front,新北市
20220207,front,新北市
20220207,left,高雄市
20220208,front_left,基隆市
20220208,front,高雄市
20220208,back,高雄市
20220208,back,高雄市
20220208,front,高雄市
20220208,front,高雄市
20220208,right,新竹縣
20220208,front,嘉義縣
20220208,back,嘉義縣
20220209,front_right,新竹縣
20220209,back,新竹縣
20220211,left,新北市
20220211,right_back,新北市
20220211,front_right,高雄市
20220211,right,高雄市
20220212,right,高雄市
20220212,right,高雄市
20220213,back,新北市
20220213,front,新北市
20220214,right,臺中市
20220214,front,新北市
20220214,back,新北市
20220215,back,高雄市
20220215,left,高雄市
20220216,front_left,苗栗縣
20220216,front_left,桃園市
20220216,front,新北市
20220216,right_back,新北市
20220218,front,高雄市
20220218,front_left,南投縣
20220218,front,高雄市
20220218,left,高雄市
20220218,front,臺南市
20220219,left,高雄市
20220219,right,高雄市
20220219,front,高雄市
20220220,front,基隆市
20220220,front_left,基隆市
20220222,front,新北市
20220222,left,屏東縣
20220222,front,屏東縣
20220222,front,高雄市
20220223,front,高雄市
20220223,left,高雄市
20220223,front,嘉義縣
20220223,front,花蓮縣
20220225,back,桃園市
20220225,right,臺中市
20220225,front_left,基隆市
20220225,front,基隆市
20220225,front,高雄市
20220226,left,新北市
20220226,right_back,新北市
20220226,front_right,高雄市
20220226,front,高雄市
20220226,left_back,新北市
20220226,front,新北市
20220226,front,屏東縣
20220226,front_left,屏東縣
20220226,front,新北市
20220226,front,高雄市
20220226,left,高雄市
20220228,left,基隆市
20220301,front,新北市
20220301,front,高雄市
20220302,front,高雄市
